"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2010","European Union - 28 countries (2013-2020)","National currency","Nominal labour productivity per hour worked",":",""
"2010","European Union - 28 countries (2013-2020)","National currency","Real labour productivity per person",":",""
"2010","European Union - 28 countries (2013-2020)","Purchasing power standard (PPS)","Compensation per employee","32,477.6",""
"2010","European Union - 28 countries (2013-2020)","Purchasing power standard (PPS)","Compensation of employees per hour worked","20.5",""
"2010","European Union - 28 countries (2013-2020)","Purchasing power standard (PPS)","Nominal labour productivity per person",":",""
"2010","European Union - 28 countries (2013-2020)","Purchasing power standard (PPS)","Nominal labour productivity per hour worked",":",""
"2010","European Union - 28 countries (2013-2020)","Purchasing power standard (PPS)","Real labour productivity per person",":",""
"2010","European Union - 28 countries (2013-2020)","Purchasing power standard (PPS, EU27 from 2020)","Compensation per employee","32,122.0",""
"2010","European Union - 28 countries (2013-2020)","Purchasing power standard (PPS, EU27 from 2020)","Compensation of employees per hour worked","20.3",""
"2010","European Union - 28 countries (2013-2020)","Purchasing power standard (PPS, EU27 from 2020)","Nominal labour productivity per person",":",""
"2010","European Union - 28 countries (2013-2020)","Purchasing power standard (PPS, EU27 from 2020)","Nominal labour productivity per hour worked",":",""
"2010","European Union - 28 countries (2013-2020)","Purchasing power standard (PPS, EU27 from 2020)","Real labour productivity per person",":",""
"2010","European Union - 28 countries (2013-2020)","Index, 2015=100","Compensation per employee",":",""
"2010","European Union - 28 countries (2013-2020)","Index, 2015=100","Compensation of employees per hour worked",":",""
"2010","European Union - 28 countries (2013-2020)","Index, 2020=100","Nominal labour productivity per person","100.7",""
"2010","European Union - 28 countries (2013-2020)","Index, 2020=100","Nominal labour productivity per hour worked","101",""
"2010","European Union - 28 countries (2013-2020)","Index, 2015=100","Real labour productivity per person","96.3",""
"2010","European Union - 28 countries (2013-2020)","Index, 2010=100","Compensation per employee",":",""
"2010","European Union - 28 countries (2013-2020)","Index, 2010=100","Compensation of employees per hour worked",":",""
"2010","European Union - 28 countries (2013-2020)","Index, 2010=100","Nominal labour productivity per person",":",""
"2010","European Union - 28 countries (2013-2020)","Index, 2010=100","Nominal labour productivity per hour worked",":",""
"2010","European Union - 28 countries (2013-2020)","Index, 2010=100","Real labour productivity per person","100.0",""
"2010","European Union - 15 countries (1995-2004)","Euro","Compensation per employee","37,215.2",""
"2010","European Union - 15 countries (1995-2004)","Euro","Compensation of employees per hour worked","24.5",""
"2010","European Union - 15 countries (1995-2004)","Euro","Nominal labour productivity per person",":",""
"2010","European Union - 15 countries (1995-2004)","Euro","Nominal labour productivity per hour worked",":",""
"2010","European Union - 15 countries (1995-2004)","Euro","Real labour productivity per person",":",""
"2010","European Union - 15 countries (1995-2004)","National currency","Compensation per employee","37,215.2",""
"2010","European Union - 15 countries (1995-2004)","National currency","Compensation of employees per hour worked","24.5",""
"2010","European Union - 15 countries (1995-2004)","National currency","Nominal labour productivity per person",":",""
"2010","European Union - 15 countries (1995-2004)","National currency","Nominal labour productivity per hour worked",":",""
"2010","European Union - 15 countries (1995-2004)","National currency","Real labour productivity per person",":",""
"2010","European Union - 15 countries (1995-2004)","Purchasing power standard (PPS)","Compensation per employee","35,107.0",""
"2010","European Union - 15 countries (1995-2004)","Purchasing power standard (PPS)","Compensation of employees per hour worked","23.1",""
"2010","European Union - 15 countries (1995-2004)","Purchasing power standard (PPS)","Nominal labour productivity per person",":",""
"2010","European Union - 15 countries (1995-2004)","Purchasing power standard (PPS)","Nominal labour productivity per hour worked",":",""
"2010","European Union - 15 countries (1995-2004)","Purchasing power standard (PPS)","Real labour productivity per person",":",""
"2010","European Union - 15 countries (1995-2004)","Purchasing power standard (PPS, EU27 from 2020)","Compensation per employee","34,722.4",""
"2010","European Union - 15 countries (1995-2004)","Purchasing power standard (PPS, EU27 from 2020)","Compensation of employees per hour worked","22.9",""
"2010","European Union - 15 countries (1995-2004)","Purchasing power standard (PPS, EU27 from 2020)","Nominal labour productivity per person",":",""
"2010","European Union - 15 countries (1995-2004)","Purchasing power standard (PPS, EU27 from 2020)","Nominal labour productivity per hour worked",":",""
"2010","European Union - 15 countries (1995-2004)","Purchasing power standard (PPS, EU27 from 2020)","Real labour productivity per person",":",""
"2010","European Union - 15 countries (1995-2004)","Index, 2015=100","Compensation per employee",":",""
"2010","European Union - 15 countries (1995-2004)","Index, 2015=100","Compensation of employees per hour worked",":",""
"2010","European Union - 15 countries (1995-2004)","Index, 2020=100","Nominal labour productivity per person",":",""
"2010","European Union - 15 countries (1995-2004)","Index, 2020=100","Nominal labour productivity per hour worked",":",""
"2010","European Union - 15 countries (1995-2004)","Index, 2015=100","Real labour productivity per person","96.7",""
"2010","European Union - 15 countries (1995-2004)","Index, 2010=100","Compensation per employee",":",""
"2010","European Union - 15 countries (1995-2004)","Index, 2010=100","Compensation of employees per hour worked",":",""
"2010","European Union - 15 countries (1995-2004)","Index, 2010=100","Nominal labour productivity per person",":",""
"2010","European Union - 15 countries (1995-2004)","Index, 2010=100","Nominal labour productivity per hour worked",":",""
"2010","European Union - 15 countries (1995-2004)","Index, 2010=100","Real labour productivity per person","100.0",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Euro","Compensation per employee","36,230.3",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Euro","Compensation of employees per hour worked","24.2",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Euro","Nominal labour productivity per person",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Euro","Nominal labour productivity per hour worked",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Euro","Real labour productivity per person",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","National currency","Compensation per employee","36,230.3",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","National currency","Compensation of employees per hour worked","24.2",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","National currency","Nominal labour productivity per person",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","National currency","Nominal labour productivity per hour worked",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","National currency","Real labour productivity per person",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Purchasing power standard (PPS)","Compensation per employee","34,808.4",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Purchasing power standard (PPS)","Compensation of employees per hour worked","23.2",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Purchasing power standard (PPS)","Nominal labour productivity per person",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Purchasing power standard (PPS)","Nominal labour productivity per hour worked",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Purchasing power standard (PPS)","Real labour productivity per person",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Purchasing power standard (PPS, EU27 from 2020)","Compensation per employee","34,430.9",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Purchasing power standard (PPS, EU27 from 2020)","Compensation of employees per hour worked","23.0",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Purchasing power standard (PPS, EU27 from 2020)","Nominal labour productivity per person",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Purchasing power standard (PPS, EU27 from 2020)","Nominal labour productivity per hour worked",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Purchasing power standard (PPS, EU27 from 2020)","Real labour productivity per person",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Index, 2015=100","Compensation per employee",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Index, 2015=100","Compensation of employees per hour worked",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Index, 2020=100","Nominal labour productivity per person","108.9",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Index, 2020=100","Nominal labour productivity per hour worked","112.9",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Index, 2015=100","Real labour productivity per person","96.8",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Index, 2010=100","Compensation per employee",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Index, 2010=100","Compensation of employees per hour worked",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Index, 2010=100","Nominal labour productivity per person",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Index, 2010=100","Nominal labour productivity per hour worked",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Index, 2010=100","Real labour productivity per person","100.0",""
"2010","Euro area - 19 countries  (from 2015)","Euro","Compensation per employee","35,854.5",""
"2010","Euro area - 19 countries  (from 2015)","Euro","Compensation of employees per hour worked","23.7",""
"2010","Euro area - 19 countries  (from 2015)","Euro","Nominal labour productivity per person",":",""
"2010","Euro area - 19 countries  (from 2015)","Euro","Nominal labour productivity per hour worked",":",""
"2010","Euro area - 19 countries  (from 2015)","Euro","Real labour productivity per person",":",""
"2010","Euro area - 19 countries  (from 2015)","National currency","Compensation per employee","35,854.5",""
"2010","Euro area - 19 countries  (from 2015)","National currency","Compensation of employees per hour worked","23.7",""
"2010","Euro area - 19 countries  (from 2015)","National currency","Nominal labour productivity per person",":",""
"2010","Euro area - 19 countries  (from 2015)","National currency","Nominal labour productivity per hour worked",":",""
"2010","Euro area - 19 countries  (from 2015)","National currency","Real labour productivity per person",":",""
"2010","Euro area - 19 countries  (from 2015)","Purchasing power standard (PPS)","Compensation per employee","34,606.3",""
"2010","Euro area - 19 countries  (from 2015)","Purchasing power standard (PPS)","Compensation of employees per hour worked","22.9",""
"2010","Euro area - 19 countries  (from 2015)","Purchasing power standard (PPS)","Nominal labour productivity per person",":",""
"2010","Euro area - 19 countries  (from 2015)","Purchasing power standard (PPS)","Nominal labour productivity per hour worked",":",""
"2010","Euro area - 19 countries  (from 2015)","Purchasing power standard (PPS)","Real labour productivity per person",":",""
"2010","Euro area - 19 countries  (from 2015)","Purchasing power standard (PPS, EU27 from 2020)","Compensation per employee","34,227.0",""
"2010","Euro area - 19 countries  (from 2015)","Purchasing power standard (PPS, EU27 from 2020)","Compensation of employees per hour worked","22.6",""
"2010","Euro area - 19 countries  (from 2015)","Purchasing power standard (PPS, EU27 from 2020)","Nominal labour productivity per person",":",""
"2010","Euro area - 19 countries  (from 2015)","Purchasing power standard (PPS, EU27 from 2020)","Nominal labour productivity per hour worked",":",""
"2010","Euro area - 19 countries  (from 2015)","Purchasing power standard (PPS, EU27 from 2020)","Real labour productivity per person",":",""
"2010","Euro area - 19 countries  (from 2015)","Index, 2015=100","Compensation per employee",":",""
"2010","Euro area - 19 countries  (from 2015)","Index, 2015=100","Compensation of employees per hour worked",":",""
"2010","Euro area - 19 countries  (from 2015)","Index, 2020=100","Nominal labour productivity per person","108.1",""
"2010","Euro area - 19 countries  (from 2015)","Index, 2020=100","Nominal labour productivity per hour worked","111.8",""
"2010","Euro area - 19 countries  (from 2015)","Index, 2015=100","Real labour productivity per person","96.9",""
"2010","Euro area - 19 countries  (from 2015)","Index, 2010=100","Compensation per employee",":",""
"2010","Euro area - 19 countries  (from 2015)","Index, 2010=100","Compensation of employees per hour worked",":",""
"2010","Euro area - 19 countries  (from 2015)","Index, 2010=100","Nominal labour productivity per person",":",""
"2010","Euro area - 19 countries  (from 2015)","Index, 2010=100","Nominal labour productivity per hour worked",":",""
"2010","Euro area - 19 countries  (from 2015)","Index, 2010=100","Real labour productivity per person","100.0",""
"2010","Euro area - 12 countries (2001-2006)","Euro","Compensation per employee","36,785.1",""
"2010","Euro area - 12 countries (2001-2006)","Euro","Compensation of employees per hour worked","24.5",""
"2010","Euro area - 12 countries (2001-2006)","Euro","Nominal labour productivity per person",":",""
"2010","Euro area - 12 countries (2001-2006)","Euro","Nominal labour productivity per hour worked",":",""
"2010","Euro area - 12 countries (2001-2006)","Euro","Real labour productivity per person",":",""
"2010","Euro area - 12 countries (2001-2006)","National currency","Compensation per employee","36,785.1",""
"2010","Euro area - 12 countries (2001-2006)","National currency","Compensation of employees per hour worked","24.5",""
"2010","Euro area - 12 countries (2001-2006)","National currency","Nominal labour productivity per person",":",""
"2010","Euro area - 12 countries (2001-2006)","National currency","Nominal labour productivity per hour worked",":",""
"2010","Euro area - 12 countries (2001-2006)","National currency","Real labour productivity per person",":",""
"2010","Euro area - 12 countries (2001-2006)","Purchasing power standard (PPS)","Compensation per employee","35,146.2",""
"2010","Euro area - 12 countries (2001-2006)","Purchasing power standard (PPS)","Compensation of employees per hour worked","23.5",""
"2010","Euro area - 12 countries (2001-2006)","Purchasing power standard (PPS)","Nominal labour productivity per person",":",""
"2010","Euro area - 12 countries (2001-2006)","Purchasing power standard (PPS)","Nominal labour productivity per hour worked",":",""
"2010","Euro area - 12 countries (2001-2006)","Purchasing power standard (PPS)","Real labour productivity per person",":",""
"2010","Euro area - 12 countries (2001-2006)","Purchasing power standard (PPS, EU27 from 2020)","Compensation per employee","34,761.3",""
"2010","Euro area - 12 countries (2001-2006)","Purchasing power standard (PPS, EU27 from 2020)","Compensation of employees per hour worked","23.2",""
"2010","Euro area - 12 countries (2001-2006)","Purchasing power standard (PPS, EU27 from 2020)","Nominal labour productivity per person",":",""
"2010","Euro area - 12 countries (2001-2006)","Purchasing power standard (PPS, EU27 from 2020)","Nominal labour productivity per hour worked",":",""
"2010","Euro area - 12 countries (2001-2006)","Purchasing power standard (PPS, EU27 from 2020)","Real labour productivity per person",":",""
"2010","Euro area - 12 countries (2001-2006)","Index, 2015=100","Compensation per employee",":",""
"2010","Euro area - 12 countries (2001-2006)","Index, 2015=100","Compensation of employees per hour worked",":",""
"2010","Euro area - 12 countries (2001-2006)","Index, 2020=100","Nominal labour productivity per person",":",""
"2010","Euro area - 12 countries (2001-2006)","Index, 2020=100","Nominal labour productivity per hour worked",":",""
"2010","Euro area - 12 countries (2001-2006)","Index, 2015=100","Real labour productivity per person","96.8",""
"2010","Euro area - 12 countries (2001-2006)","Index, 2010=100","Compensation per employee",":",""
"2010","Euro area - 12 countries (2001-2006)","Index, 2010=100","Compensation of employees per hour worked",":",""
"2010","Euro area - 12 countries (2001-2006)","Index, 2010=100","Nominal labour productivity per person",":",""
"2010","Euro area - 12 countries (2001-2006)","Index, 2010=100","Nominal labour productivity per hour worked",":",""
"2010","Euro area - 12 countries (2001-2006)","Index, 2010=100","Real labour productivity per person","100.0",""
"2010","Belgium","Euro","Compensation per employee","49,054.8",""
"2010","Belgium","Euro","Compensation of employees per hour worked","34.3",""
"2010","Belgium","Euro","Nominal labour productivity per person",":",""
"2010","Belgium","Euro","Nominal labour productivity per hour worked",":",""
"2010","Belgium","Euro","Real labour productivity per person",":",""
"2010","Belgium","National currency","Compensation per employee","49,054.8",""
"2010","Belgium","National currency","Compensation of employees per hour worked","34.3",""
"2010","Belgium","National currency","Nominal labour productivity per person",":",""
"2010","Belgium","National currency","Nominal labour productivity per hour worked",":",""
"2010","Belgium","National currency","Real labour productivity per person",":",""
"2010","Belgium","Purchasing power standard (PPS)","Compensation per employee","44,876.8",""
"2010","Belgium","Purchasing power standard (PPS)","Compensation of employees per hour worked","31.3",""
"2010","Belgium","Purchasing power standard (PPS)","Nominal labour productivity per person",":",""
"2010","Belgium","Purchasing power standard (PPS)","Nominal labour productivity per hour worked",":",""
"2010","Belgium","Purchasing power standard (PPS)","Real labour productivity per person",":",""
"2010","Belgium","Purchasing power standard (PPS, EU27 from 2020)","Compensation per employee","44,385.1",""
"2010","Belgium","Purchasing power standard (PPS, EU27 from 2020)","Compensation of employees per hour worked","31.0",""
"2010","Belgium","Purchasing power standard (PPS, EU27 from 2020)","Nominal labour productivity per person",":",""
"2010","Belgium","Purchasing power standard (PPS, EU27 from 2020)","Nominal labour productivity per hour worked",":",""
"2010","Belgium","Purchasing power standard (PPS, EU27 from 2020)","Real labour productivity per person",":",""
"2010","Belgium","Index, 2015=100","Compensation per employee",":",""
"2010","Belgium","Index, 2015=100","Compensation of employees per hour worked",":",""
"2010","Belgium","Index, 2020=100","Nominal labour productivity per person","130.5",""
"2010","Belgium","Index, 2020=100","Nominal labour productivity per hour worked","138",""
"2010","Belgium","Index, 2015=100","Real labour productivity per person","96.3",""
"2010","Belgium","Index, 2010=100","Compensation per employee",":",""
"2010","Belgium","Index, 2010=100","Compensation of employees per hour worked",":",""
"2010","Belgium","Index, 2010=100","Nominal labour productivity per person",":",""
"2010","Belgium","Index, 2010=100","Nominal labour productivity per hour worked",":",""
"2010","Belgium","Index, 2010=100","Real labour productivity per person","100.0",""
"2010","Bulgaria","Euro","Compensation per employee","5,287.3",""
"2010","Bulgaria","Euro","Compensation of employees per hour worked","3.2",""
"2010","Bulgaria","Euro","Nominal labour productivity per person",":",""
"2010","Bulgaria","Euro","Nominal labour productivity per hour worked",":",""
"2010","Bulgaria","Euro","Real labour productivity per person",":",""
"2010","Bulgaria","National currency","Compensation per employee","10,340.8",""
"2010","Bulgaria","National currency","Compensation of employees per hour worked","6.2",""
"2010","Bulgaria","National currency","Nominal labour productivity per person",":",""
"2010","Bulgaria","National currency","Nominal labour productivity per hour worked",":",""
"2010","Bulgaria","National currency","Real labour productivity per person",":",""
"2010","Bulgaria","Purchasing power standard (PPS)","Compensation per employee","11,690.9",""
"2010","Bulgaria","Purchasing power standard (PPS)","Compensation of employees per hour worked","7.0",""
"2010","Bulgaria","Purchasing power standard (PPS)","Nominal labour productivity per person",":",""
"2010","Bulgaria","Purchasing power standard (PPS)","Nominal labour productivity per hour worked",":",""
"2010","Bulgaria","Purchasing power standard (PPS)","Real labour productivity per person",":",""
"2010","Bulgaria","Purchasing power standard (PPS, EU27 from 2020)","Compensation per employee","11,562.9",""
"2010","Bulgaria","Purchasing power standard (PPS, EU27 from 2020)","Compensation of employees per hour worked","7.0",""
"2010","Bulgaria","Purchasing power standard (PPS, EU27 from 2020)","Nominal labour productivity per person",":",""
"2010","Bulgaria","Purchasing power standard (PPS, EU27 from 2020)","Nominal labour productivity per hour worked",":",""
"2010","Bulgaria","Purchasing power standard (PPS, EU27 from 2020)","Real labour productivity per person",":",""
"2010","Bulgaria","Index, 2015=100","Compensation per employee",":",""
"2010","Bulgaria","Index, 2015=100","Compensation of employees per hour worked",":",""
"2010","Bulgaria","Index, 2020=100","Nominal labour productivity per person","41.2",""
"2010","Bulgaria","Index, 2020=100","Nominal labour productivity per hour worked","41.7",""
"2010","Bulgaria","Index, 2015=100","Real labour productivity per person","87.6",""
"2010","Bulgaria","Index, 2010=100","Compensation per employee",":",""
"2010","Bulgaria","Index, 2010=100","Compensation of employees per hour worked",":",""
"2010","Bulgaria","Index, 2010=100","Nominal labour productivity per person",":",""
"2010","Bulgaria","Index, 2010=100","Nominal labour productivity per hour worked",":",""
"2010","Bulgaria","Index, 2010=100","Real labour productivity per person","100.0",""
"2010","Czechia","Euro","Compensation per employee","14,802.0",""
"2010","Czechia","Euro","Compensation of employees per hour worked","8.5",""
"2010","Czechia","Euro","Nominal labour productivity per person",":",""
"2010","Czechia","Euro","Nominal labour productivity per hour worked",":",""
"2010","Czechia","Euro","Real labour productivity per person",":",""
"2010","Czechia","National currency","Compensation per employee","374,254.4",""
"2010","Czechia","National currency","Compensation of employees per hour worked","216.2",""
"2010","Czechia","National currency","Nominal labour productivity per person",":",""
"2010","Czechia","National currency","Nominal labour productivity per hour worked",":",""
"2010","Czechia","National currency","Real labour productivity per person",":",""
"2010","Czechia","Purchasing power standard (PPS)","Compensation per employee","20,949.6",""
"2010","Czechia","Purchasing power standard (PPS)","Compensation of employees per hour worked","12.1",""
"2010","Czechia","Purchasing power standard (PPS)","Nominal labour productivity per person",":",""
"2010","Czechia","Purchasing power standard (PPS)","Nominal labour productivity per hour worked",":",""
"2010","Czechia","Purchasing power standard (PPS)","Real labour productivity per person",":",""
"2010","Czechia","Purchasing power standard (PPS, EU27 from 2020)","Compensation per employee","20,720.2",""
"2010","Czechia","Purchasing power standard (PPS, EU27 from 2020)","Compensation of employees per hour worked","12.0",""
"2010","Czechia","Purchasing power standard (PPS, EU27 from 2020)","Nominal labour productivity per person",":",""
"2010","Czechia","Purchasing power standard (PPS, EU27 from 2020)","Nominal labour productivity per hour worked",":",""
"2010","Czechia","Purchasing power standard (PPS, EU27 from 2020)","Real labour productivity per person",":",""
"2010","Czechia","Index, 2015=100","Compensation per employee",":",""
"2010","Czechia","Index, 2015=100","Compensation of employees per hour worked",":",""
"2010","Czechia","Index, 2020=100","Nominal labour productivity per person","77.4",""
"2010","Czechia","Index, 2020=100","Nominal labour productivity per hour worked","71.6",""
"2010","Czechia","Index, 2015=100","Real labour productivity per person","94.3",""
"2010","Czechia","Index, 2010=100","Compensation per employee",":",""
"2010","Czechia","Index, 2010=100","Compensation of employees per hour worked",":",""
"2010","Czechia","Index, 2010=100","Nominal labour productivity per person",":",""
"2010","Czechia","Index, 2010=100","Nominal labour productivity per hour worked",":",""
"2010","Czechia","Index, 2010=100","Real labour productivity per person","100.0",""
"2010","Denmark","Euro","Compensation per employee","49,180.4",""
"2010","Denmark","Euro","Compensation of employees per hour worked","35.2",""
"2010","Denmark","Euro","Nominal labour productivity per person",":",""
"2010","Denmark","Euro","Nominal labour productivity per hour worked",":",""
"2010","Denmark","Euro","Real labour productivity per person",":",""
"2010","Denmark","National currency","Compensation per employee","366,261.0",""
"2010","Denmark","National currency","Compensation of employees per hour worked","261.8",""
"2010","Denmark","National currency","Nominal labour productivity per person",":",""
"2010","Denmark","National currency","Nominal labour productivity per hour worked",":",""
"2010","Denmark","National currency","Real labour productivity per person",":",""
"2010","Denmark","Purchasing power standard (PPS)","Compensation per employee","36,926.9",""
"2010","Denmark","Purchasing power standard (PPS)","Compensation of employees per hour worked","26.4",""
"2010","Denmark","Purchasing power standard (PPS)","Nominal labour productivity per person",":",""
"2010","Denmark","Purchasing power standard (PPS)","Nominal labour productivity per hour worked",":",""
"2010","Denmark","Purchasing power standard (PPS)","Real labour productivity per person",":",""
"2010","Denmark","Purchasing power standard (PPS, EU27 from 2020)","Compensation per employee","36,522.4",""
